Sl. No.,State/UT,2018 - Cases Registered (CR),2018 - Conviction Rate (CVR),2019 - Cases Registered (CR),2019 - Conviction Rate (CVR0,2020 - Cases Registered (CR),2020 - Conviction Rate (CVR)
1,Andhra Pradesh,971,11.2,1086,10.3,1095,9
2,Arunachal Pradesh,67,42.9,63,50,60,0
3,Assam,1648,5,1773,9.2,1657,3
4,Bihar,651,56,730,30.1,806,61.2
5,Chhattisgarh,2091,32.3,1036,34,1210,39.6
6,Goa,61,6.4,72,2.7,60,19
7,Gujarat,553,13.4,528,18.7,486,9.7
8,Haryana,1296,21.6,1480,14.4,1373,21.4
9,Himachal Pradesh,344,27.8,359,31.9,331,34.1
10,Jharkhand,1090,33.8,1416,60.4,1321,58.5
11,Karnataka,492,18.6,505,10.8,504,6.7
12,Kerala,1945,21.6,2023,19.3,637,63
13,Madhya Pradesh,5433,26.6,2485,22.1,2339,33.8
14,Maharashtra,2142,17.4,2299,15.1,2061,21.1
15,Manipur,52,40,36,47.1,32,20
16,Meghalaya,87,24.2,102,30.4,67,32.1
17,Mizoram,50,100,42,90.5,33,76.9
18,Nagaland,10,90,8,50,4,85.7
19,Odisha,918,13.8,1382,15.9,1211,16.4
20,Punjab,831,26.7,1002,28.1,502,27.7
21,Rajasthan,4335,40.5,5997,49.5,5310,45.4
22,Sikkim,16,35.7,11,33.3,12,0
23,Tamil Nadu,331,13.7,362,16.7,389,20.9
24,Telangana,606,9.8,873,7.9,764,11.8
25,Tripura,97,13.6,88,25.9,79,13.8
26,Uttar Pradesh,3946,55.3,3065,57.3,2769,70.9
27,Uttarakhand,561,46.1,526,63.2,487,42
28,West Bengal,1069,16.1,1068,9.5,1128,3.1
Total State (S),Total State (S),31693,27.2,30417,27.8,26727,39.5
29,Andaman and Nicobar Islands,30,40,13,19,2,0
30,Chandigarh,86,53.3,112,41.7,60,38.9
31,Dadra and Nagar Haveli and Daman and Diu,10,25,4,0,4,0
32,Delhi,1215,28.8,1253,23.4,997,47.3
33,Jammu and Kashmir,320,12.3,223,7.8,243,7.5
34,Ladakh,NA,NA,NA,NA,2,0
35,Lakshadweep,2,NA,0,NA,3,NA
36,Puducherry,0,NA,10,NA,8,50
Total UT(S),Total UT(S),1663,26.3,1615,20.6,1319,32.2
Total (All India),Total (All India),33356,27.2,32032,27.4,28046,39.3
