Sl. No.,State/UT,2018,2019,2020
1,Andhra Pradesh,912,1044,1088
2,Arunachal Pradesh,63,56,49
3,Assam,1488,1563,1457
4,Bihar,639,718,790
5,Chhattisgarh,1915,1003,1184
6,Goa,57,71,59
7,Gujarat,532,509,457
8,Haryana,1236,1436,1336
9,Himachal Pradesh,339,351,329
10,Jharkhand,1015,1334,1200
11,Karnataka,488,501,497
12,Kerala,1914,2010,628
13,Madhya Pradesh,5209,2449,2306
14,Maharashtra,2124,2274,2056
15,Manipur,50,36,31
16,Meghalaya,81,101,61
17,Mizoram,49,38,33
18,Nagaland,10,6,4
19,Odisha,901,1272,1170
20,Punjab,822,1000,498
21,Rajasthan,3748,5288,5046
22,Sikkim,16,11,12
23,Tamil Nadu,327,361,381
24,Telangana,599,868,755
25,Tripura,94,83,78
26,Uttar Pradesh,3718,2874,2568
27,Uttarakhand,423,400,457
28,West Bengal,958,873,1012
Total State(S),Total State(S),29727,28530,25542
29,Andaman and Nicobar Islands,27,13,2
30,Chandigarh,84,102,56
31,Dadra and Nagar Haveli and Daman and Diu,9,4,4
32,Delhi,1194,1237,949
33,Jammu and Kashmir,277,184,242
34,Ladakh,NA,NA,2
35,Lakshadweep,2,0,3
36,Puducherry,0,10,8
Total UT(S),Total UT(S),1593,1550,1266
Total (All India),Total (All India),31320,30080,26808
